,,,,,,,,,,,,
,blade_name,code,brand,class,Speed,control,weight,plies,thickness,handle,combo price,price
,Tibhar Fortino Force,STFFC,Tibhar,OFF,94,70,85,"5w, 2d/c",6.3,"FL, ST",,$109.95
,Tibhar Fortino Pro,STFPR,Tibhar,OFF+,96,67,85,"5w, 2c/d",6.3,"FL, ST",,$214.95
,Tibhar Fortino Performance,STFPF,Tibhar,OFF-,87,78,85,"7w, 2c/d",6.3,"FL, ST",,$109.95
,Stiga Dynasty Carbon Xu Xin Edition,SSDNX,Stiga,OFF+,96,62,90,"5w, 2c",5.9,"FL, ST",,$249.95
,Stiga Dynasty Carbon,SSDNC,Stiga,OFF+,96,62,90,"5w, 2c",5.9,"FL, ST",,$178.95
,Nittaku Acoustic Large Grip,SNACR,Nittaku,OFF,86,67,90,5w,5.7,"FL, ST",,$179.95
,Nittaku Acoustic Carbon (Large Grip),SNACL,Nittaku,OFF,92,65,92,"5w, 2c",5.5,"FL, ST",,$179.95
,Nittaku Acoustic Carbon Inner (Large Grip),SNACG,Nittaku,OFF,90,66,92,"5w, 2c",5.5,"FL, ST",,$179.95
,Juic Pro Alpha,SJPRA,Juic,ALL+,82,76,85,"5w, 2c/k",5.9,"FL, ST",,$78.95
,Donic Ovtcharov No. 1 Senso,SDONS,Donic,OFF,93,72,85,"5w, 2c/a",5.9,"FL, ST",,$249.95
,Donic Ovtcharov No. 1,SDON1,Donic,OFF,93,69,90,"5w, 2c/a",5.9,"FL, ST",,$122.95
,Stiga Clipper 75 Limited Edition,SSCLL7,Stiga,OFF,88,68,90,7w,6.6,FL,,$199.95
,Stiga Infinity VPS V,SSINF5,Stiga,OFF,88,65,83,5w,6,"FL, ST",$144.95,$79.95
,Dr. Neubauer Grand Master,SUGMR,Dr. Neubauer,DEF,63,93,68,5w,5.2,"FL, ST",,$54.95
,Dr. Neubauer High Tech Cypress Carbon,SUHTC,Dr. Neubauer,OFF,88,65,74,"5w, 2c",10,"FL, ST",,$74.95
,Nittaku Septear Feel,SNSFL,Nittaku,OFF,91,68,88,"7w, 2c",5.7,"FL, ST",,$112.95
,Nittaku Septear Feel Inner,SNSFI,Nittaku,OFF-,87,70,88,"7w, 2c",5.7,"FL, ST",,$112.95
,Nittaku Acoustic,SNACO,Nittaku,OFF,86,67,88,5w,5.7,"FL, ST",$229.95,$164.95
,Xiom Ice Cream AZX,SXIZX,Xiom,OFF+,96,60,88,"5w, 1c/a, 1c/z",5.7,"FL, ST",,$199.95
,DHS Hurricane Long 5,SCHL5,DHS,OFF+,96,62,88,"5w, 2c/a",5.9,FL,$264.95,$199.95
,Stiga Carbonado 290,SSC290,Stiga,OFF+,99,58,95,"5w, 2c",5.7,"FL, ST",,$179.95
,Stiga Carbonado 190,SSC190,Stiga,OFF+,98,60,90,"5w, 2c",5.7,"FL, ST",,$179.95
,Stiga Carbonado 245,SSC245,Stiga,OFF+,99,58,95,"5w, 2c",5.7,"FL, ST",,$199.95
,Stiga Carbonado 145,SSC145,Stiga,OFF+,98,60,90,"5w, 2c",5.7,"FL, ST",,$199.95
,Stiga Carbonado 45,SSC45,Stiga,OFF+,93,63,90,"5w, 2c",5.7,"FL, ST",$254.95,$189.95
,Butterfly Viscaria,SBVIS,Butterfly,OFF,94,57,90,"5w, 2c/a",5.8,FL,,$159.99
,Butterfly Timo Boll ALC,SBTBA,Butterfly,OFF,93,56,84,"5w, 2c/a",5.7,"FL, ST",,$159.99
,Butterfly Harimoto Innerforce ALC,SBHIA,Butterfly,OFF,91,67,88,"5w, 2a/c",6,"FL, ST",,$251.99
,Tibhar VS Unlimited,STVSU,Tibhar,OFF+,96,68,87,"5w, 2c/k",6,"FL, AN, ST",,$179.95
,Tibhar Samsonov Force Pro,STSAF,Tibhar,OFF,95,61,85,7w,6.4,"FL, AN, ST",,$59.95
,Tibhar Samsonov Force Pro Black Edition,STSAB,Tibhar,OFF,96,60,90,7w,6.8,"FL, ST",,$59.95
,Yasaka Ma Lin Extra Offensive,SYMAE,Yasaka,OFF,89,67,84,5w,5.9,"FL, AN, ST",,$51.95
,Yasaka Ma Lin Soft Carbon,SYMAS,Yasaka,OFF-,88,68,83,"5w, 2c",5.8,"FL, AN, ST",$137.97,$72.95
